city,department,region
Agen,47,Nouvelle-Aquitaine
Aix-en-Provence,13,Provence-Alpes-Côte d'Azur
Aix-les-Bains,73,Auvergne-Rhône-Alpes
Ajaccio,2A,Corse
Albi,81,Occitanie
Alès,30,Occitanie
Alfortville,94,Île-de-France
Amiens,80,Hauts-de-France
Angers,49,Pays de la Loire
Anglet,64,Nouvelle-Aquitaine
Angoulême,16,Nouvelle-Aquitaine
Annecy,74,Auvergne-Rhône-Alpes
Annemasse,74,Auvergne-Rhône-Alpes
Antibes,6,Provence-Alpes-Côte d'Azur
Antony,92,Île-de-France
Argenteuil,95,Île-de-France
Arles,13,Provence-Alpes-Côte d'Azur
Arras,62,Hauts-de-France
Asnières-sur-Seine,92,Île-de-France
Athis-Mons,91,Île-de-France
Aubagne,13,Provence-Alpes-Côte d'Azur
Aubervilliers,93,Île-de-France
Aulnay-sous-Bois,93,Île-de-France
Auxerre,89,Bourgogne-Franche-Comté
Avignon,84,Provence-Alpes-Côte d'Azur
Bagneux,92,Île-de-France
Bagnolet,93,Île-de-France
Baie-Mahault,971,Guadeloupe
Bastia,2B,Corse
Bayonne,64,Nouvelle-Aquitaine
Beauvais,60,Hauts-de-France
Bègles,33,Nouvelle-Aquitaine
Belfort,90,Bourgogne-Franche-Comté
Besançon,25,Bourgogne-Franche-Comté
Béziers,34,Occitanie
Bezons,95,Île-de-France
Blois,41,Centre-Val de Loire
Bobigny,93,Île-de-France
Bondy,93,Île-de-France
Bordeaux,33,Nouvelle-Aquitaine
Boulogne-Billancourt,92,Île-de-France
Boulogne-sur-Mer,62,Hauts-de-France
Bourg-en-Bresse,1,Auvergne-Rhône-Alpes
Bourges,18,Centre-Val de Loire
Brest,29,Bretagne
Brive-la-Gaillarde,19,Nouvelle-Aquitaine
Bron,69,Auvergne-Rhône-Alpes
Cachan,94,Île-de-France
Caen,14,Normandie
Cagnes-sur-Mer,6,Provence-Alpes-Côte d'Azur
Calais,62,Hauts-de-France
Caluire-et-Cuire,69,Auvergne-Rhône-Alpes
Cambrai,59,Hauts-de-France
Cannes,6,Provence-Alpes-C
Carcassonne,11,Occitanie
Castres,81,Occitanie
Cayenne,973,Guyane
Cergy,95,Île-de-France
Chalon-sur-Saône,71,Bourgogne-Franche-Comté
Châlons-en-Champagne,51,Grand Est
Chambéry,73,Auvergne-Rhône-Alpes
Champigny-sur-Marne,94,Île-de-France
Charleville-Mézières,8,Grand Est
Chartres,28,Centre-Val de Loire
Châteauroux,36,Centre-Val de Loire
Châtellerault,86,Nouvelle-Aquitaine
Châtenay-Malabry,92,Île-de-France
Châtillon,92,Île-de-France
Chatou,78,Île-de-France
Chelles,77,Île-de-France
Cherbourg-en-Cotentin,50,Normandie
Choisy-le-Roi,94,Île-de-France
Cholet,49,Pays de la Loire
Clamart,92,Île-de-France
Clermont-Ferrand,63,Auvergne-Rhône-Alpes
Clichy-la-Garenne,92,Île-de-France
Colmar,68,Grand Est
Colombes,92,Île-de-France
Colomiers,31,Occitanie
Compiègne,60,Hauts-de-France
Conflans-Sainte-Honorine,78,Île-de-France
Corbeil-Essonnes,91,Île-de-France
Courbevoie,92,Île-de-France
Creil,60,Hauts-de-France
Créteil,94,Île-de-France
Dijon,21,Bourgogne-Franche-Comté
Douai,59,Hauts-de-France
Draguignan,83,Provence-Alpes-Côte d'Azur
Drancy,93,Île-de-France
Dreux,28,Centre-Val de Loire
Dumbéa11,988,Nouvelle-Calédonie
Dunkerque,59,Hauts-de-France
Échirolles,38,Auvergne-Rhône-Alpes
Épinal,88,Grand Est
Épinay-sur-Seine,93,Île-de-France
Évreux,27,Normandie
Évry-Courcouronnes,91,Île-de-France
Fontenay-sous-Bois,94,Île-de-France
Fort-de-France,972,Martinique
Franconville,95,Île-de-France
Fréjus,83,Provence-Alpes-Côte d'Azur
Gagny,93,Île-de-France
Gap,5,Provence-Alpes-Côte d'Azur
Garges-lès-Gonesse,95,Île-de-France
Gennevilliers,92,Île-de-France
Goussainville,95,Île-de-France
Grasse,6,Provence-Alpes-Côte d'Azur
Grenoble,38,Auvergne-Rhône-Alpes
Haguenau,67,Grand Est
Herblay-sur-Seine,95,Île-de-France
Houilles,78,Île-de-France
Hyères,83,Provence-Alpes-Côte d'Azur
Issy-les-Moulineaux,92,Île-de-France
Istres,13,Provence-Alpes-Côte d'Azur
Ivry-sur-Seine,94,Île-de-France
Joué-lès-Tours,37,Centre-Val de Loire
Koungou,976,Mayotte
L'Haÿ-les-Roses,94,Île-de-France
La Ciotat,13,Provence-Alpes-Côte d'Azur
La Courneuve,93,Île-de-France
La Possession,974,La Réunion
La Roche-sur-Yon,85,Pays de la Loire
La Rochelle,17,Nouvelle-Aquitaine
La Seyne-sur-Mer,83,Provence-Alpes-Côte d'Azur
Laval,53,Pays de la Loire
Le Blanc-Mesnil,93,Île-de-France
Le Cannet,6,Provence-Alpes-Côte d'Azur
Le Chesnay-Rocquencourt,78,Île-de-France
Le Havre,76,Normandie
Le Lamentin,972,Martinique
Le Mans,72,Pays de la Loire
Le Perreux-sur-Marne,94,Île-de-France
Le Plessis-Robinson,92,Île-de-France
Le Port,974,La Réunion
Le Tampon,974,La Réunion
Lens,62,Hauts-de-France
Les Abymes,971,Guadeloupe
Les Mureaux,78,Île-de-France
Les Sables-d'Olonne,85,Pays de la Loire
Levallois-Perret,92,Île-de-France
Liévin,62,Hauts-de-France
Lille,59,Hauts-de-France
Limoges,87,Nouvelle-Aquitaine
Livry-Gargan,93,Île-de-France
Lorient,56,Bretagne
Lyon,69,Auvergne-Rhône-Alpes
Mâcon,71,Bourgogne-Franche-Comté
Maisons-Alfort,94,Île-de-France
Malakoff,92,Île-de-France
Mamoudzou,976,Mayotte
Mantes-la-Jolie,78,Île-de-France
Marcq-en-Barœul,59,Hauts-de-France
Marignane,13,Provence-Alpes-Côte d'Azur
Marseille,13,Provence-Alpes-Côte d'Azur
Martigues,13,Provence-Alpes-Côte d'Azur
Massy,91,Île-de-France
Matoury,973,Guyane
Meaux,77,Île-de-France
Melun,77,Île-de-France
Menton,6,Provence-Alpes-Côte d'Azur
Mérignac,33,Nouvelle-Aquitaine
Metz,57,Grand Est
Meudon,92,Île-de-France
Meyzieu,69,Auvergne-Rhône-Alpes
Montauban,82,Occitanie
Montélimar,26,Auvergne-Rhône-Alpes
Montigny-le-Bretonneux,78,Île-de-France
Montluçon,3,Auvergne-Rhône-Alpes
Montpellier,34,Occitanie
