degree,formation,speciality,segmentation,
CAP,Rentrayeur,Tapis,,CAP Rentrayeur Tapis
CAP,Etancheur du bâtiment et des travaux publics,,,CAP Etancheur du bâtiment et des travaux publics
CAP,Agent de prévention et de médiation,,,CAP Agent de prévention et de médiation
CAP,Chaussure,,,CAP Chaussure
CAP,"Composites, plastiques chaudronnés",,,"CAP Composites, plastiques chaudronnés "
CAP,Vannerie,,,CAP Vannerie
CAP,Transport fluvial,,,CAP Transport fluvial
CAP,"métiers de la mode, vêtement flou",,,"CAP métiers de la mode, vêtement flou "
CAP,"métiers de la mode, vêtement tailleur",,,"CAP métiers de la mode, vêtement tailleur "
CAP,Conducteur d'installations de production,,,CAP Conducteur d'installations de production
CAP,marbrier du bâtiment et de la décoration,,,CAP marbrier du bâtiment et de la décoration
CAP,Tailleur de pierre,,,CAP Tailleur de pierre
CAP,Conducteur livreur de marchandises,,,CAP Conducteur livreur de marchandises
CAP,aéronautique,avionique,,CAP aéronautique avionique
CAP,aéronautique,structure,,CAP aéronautique structure
CAP,aéronautique,système,,CAP aéronautique système
CAP,Agent de sécurité,,,CAP Agent de sécurité
CAP,Boulanger,,,CAP Boulanger
CAP,Maintenance de véhicules,voitures particulières,,CAP Maintenance de véhicules voitures particulières
CAP,Maintenance de véhicules,véhicules de transport routier,,CAP Maintenance de véhicules véhicules de transport routier
CAP,Maintenance de véhicules,Motocycles,,CAP Maintenance de véhicules Motocycles
CAP,Sellier harnacheur,,,CAP Sellier harnacheur
CAP,Opérateur/opératrice logistique,,,CAP Opérateur/opératrice logistique
CAP,propreté de l'environnement urbain,collecte et recyclage,,CAP propreté de l'environnement urbain collecte et recyclage
CAP,Ferronnier d'art,,,CAP Ferronnier d'art
CAP,Agent de propreté et d'hygiène,,,CAP Agent de propreté et d'hygiène
CAP,Métiers de la mode,chapelier modiste,,CAP Métiers de la mode chapelier modiste
CAP,Cuisine,,,CAP Cuisine
CAP,agent d'accueil et de conduite routière,transport de voyageurs,,CAP agent d'accueil et de conduite routière transport de voyageurs
CAP,Réalisations industrielles en chaudronnerie ou soudage,chaudronnerie,,CAP Réalisations industrielles en chaudronnerie ou soudage chaudronnerie
