domain_code,domain
1,Affaires et support technique client
2,"Agriculture et Pêche, Espaces naturels et Espaces verts"
3,Arts et Façonnage d'ouvrages d'art
4,Assurance
5,Banque
6,Beauté 
7,Commerce alimentaire et métiers de bouche
8,"Commerce, Stratégie commerciale, marketing et supervision des ventes"
9,"Commerce, Vente"
10,"Communication / Média et Multimédia"
11,Comptabilité et gestion
12,"Conception, recherche, études et développement"
13,"Construction, Bâtiment et Travaux publics"
14,"Direction, encadrement et pilotage de fabrication et production industrielles"
15,Droit
16,Finance
17,Hygiène Sécurité Environnement -HSE- industriels
18,"Hôtellerie-Restauration, Tourisme"
19,Immobilier
20,Industrie
21,Installation et Maintenance
22,Logistique
23,Mode 
24,"Métal, verre, bijouterie et horlogerie"
25,Méthodes et gestion industrielles
26,Nettoyage et propreté industriels
27,Organisation et études
28,Personnel navigant du transport aérien
29,Qualité et analyses industrielles
30,Recherche
31,Ressources humaines
32,Santé
33,Secrétariat et assistance
34,Services funéraires
35,Services à la personne et à la collectivité
36,Soins aux animaux
37,Soins paramédicaux
38,Spectacle
39,Systèmes d'information et de télécommunication
40,Transport et Logistique
41,"Véhicules, engins, aéronefs"
42,Beauté
43,Gestion
44,Audiovisuel
