profession_code,profession,domain
1,Ingénieur / Ingénieure assistance technique,Affaires et support technique client
2,Ingénieur / Ingénieure service client,Affaires et support technique client
3,Ingénieur / Ingénieure support technique,Affaires et support technique client
4,Ingénieur / Ingénieure d'affaires en industrie,Affaires et support technique client
5,Ingénieur / Ingénieure de contrats industriels,Affaires et support technique client
6,Ingénieur / Ingénieure de programme d'affaires en industrie,Affaires et support technique client
7,Ingénieur / Ingénieure de projet d'affaires en industrie,Affaires et support technique client
8,Ingénieur / Ingénieure de suivi d'affaires en industrie,Affaires et support technique client
9,Ingénieur / Ingénieure pilotage de projets d'affaires industriels,Affaires et support technique client
10,Ingénieur technico-commercial / Ingénieure technico-commerciale en affaires industrielles,Affaires et support technique client
11,Ingénieur / Ingénieure d'affaires industrielles en éco-conception,Affaires et support technique client
12,Conduite d'engins agricoles et forestiers,"Agriculture et Pêche, Espaces naturels et Espaces verts"
13,Bûcheronnage et élagage,"Agriculture et Pêche, Espaces naturels et Espaces verts"
14,Entretien des espaces naturels,"Agriculture et Pêche, Espaces naturels et Espaces verts"
15,Aménagement et entretien des espaces verts,"Agriculture et Pêche, Espaces naturels et Espaces verts"
16,Paysagiste ,"Agriculture et Pêche, Espaces naturels et Espaces verts"
17,Sylviculture,"Agriculture et Pêche, Espaces naturels et Espaces verts"
18,Ingénierie en agriculture et environnement naturel,"Agriculture et Pêche, Espaces naturels et Espaces verts"
19,Conseil et assistance technique en agriculture et environnement naturel,"Agriculture et Pêche, Espaces naturels et Espaces verts"
20,Contrôle et diagnostic technique en agriculture,"Agriculture et Pêche, Espaces naturels et Espaces verts"
21,Élevage bovin ou équin,"Agriculture et Pêche, Espaces naturels et Espaces verts"
22,Élevage d'animaux sauvages ou de compagnie,"Agriculture et Pêche, Espaces naturels et Espaces verts"
23,Aquaculture,"Agriculture et Pêche, Espaces naturels et Espaces verts"
24,Arboriculture et viticulture,"Agriculture et Pêche, Espaces naturels et Espaces verts"
25,Élevage ovin ou caprin,"Agriculture et Pêche, Espaces naturels et Espaces verts"
26,Élevage porcin,"Agriculture et Pêche, Espaces naturels et Espaces verts"
27,Fabrication et affinage de fromages,"Agriculture et Pêche, Espaces naturels et Espaces verts"
28,Fermentation de boissons alcoolisées,"Agriculture et Pêche, Espaces naturels et Espaces verts"
29,Horticulture et maraîchage,"Agriculture et Pêche, Espaces naturels et Espaces verts"
30,Équipage de la pêche,"Agriculture et Pêche, Espaces naturels et Espaces verts"
31,"Polyculture, élevage","Agriculture et Pêche, Espaces naturels et Espaces verts"
32,Saliculture,"Agriculture et Pêche, Espaces naturels et Espaces verts"
33,Caviste,"Agriculture et Pêche, Espaces naturels et Espaces verts"
34,Gravure - ciselure,Arts et Façonnage d'ouvrages d'art
35,Reliure et restauration de livres et archives,Arts et Façonnage d'ouvrages d'art
36,Fabrication et réparation d'instruments de musique,Arts et Façonnage d'ouvrages d'art
37,Conservation et reconstitution d'espèces animales,Arts et Façonnage d'ouvrages d'art
38,Tapisserie - décoration en ameublement,Arts et Façonnage d'ouvrages d'art
39,Conseil clientèle en assurances,Assurance
40,Courtage en assurances,Assurance
41,Direction d'exploitation en assurances,Assurance
42,Études actuarielles en assurances,Assurance
43,Conception - développement produits d'assurances,Assurance
44,Expertise risques en assurances,Assurance
45,Indemnisations en assurances,Assurance
46,Management de groupe et de service en assurances,Assurance
47,Rédaction et gestion en assurances,Assurance
48,Souscription d'assurances,Assurance
49,Actuaire,Assurance
50,Accueil et services bancaires,Banque
51,Analyse de crédits et risques bancaires,Banque
52,Relation clients banque/finance,Banque
53,Conception et expertise produits bancaires et financiers,Banque
54,Conseil en gestion de patrimoine financier,Banque
55,Gestion de clientèle bancaire,Banque
56,Management en exploitation bancaire,Banque
57,Coiffure,Beauté
58,Soins esthétiques et corporels,Beauté
59,Boucherie,Commerce alimentaire et métiers de bouche
60,Boulangerie - viennoiserie,Commerce alimentaire et métiers de bouche
61,Charcuterie - traiteur,Commerce alimentaire et métiers de bouche
62,"Pâtisserie, confiserie, chocolaterie et glacerie",Commerce alimentaire et métiers de bouche
63,Poissonnerie,Commerce alimentaire et métiers de bouche
64,Vente en alimentation,Commerce alimentaire et métiers de bouche
65,Réparation d'articles en cuir et matériaux souples,"Commerce, Vente"
66,Hydrothérapie,"Commerce, Vente"
67,Retouches en habillement,"Commerce, Vente"
68,"Achat vente d'objets d'art, anciens ou d'occasion","Commerce, Vente"
69,Vente de végétaux,"Commerce, Vente"
70,Vente en animalerie,"Commerce, Vente"
71,Vente en articles de sport et loisirs,"Commerce, Vente"
72,Vente en décoration et équipement du foyer,"Commerce, Vente"
73,Vente en gros de matériel et équipement,"Commerce, Vente"
74,Vente en habillement et accessoires de la personne,"Commerce, Vente"
75,Relation commerciale grands comptes et entreprises,"Commerce, Vente"
76,Management en force de vente,"Commerce, Vente"
77,Relation technico-commerciale,"Commerce, Vente"
78,Téléconseil et télévente,"Commerce, Vente"
79,Tatoueur / Tatoueuse,"Commerce, Vente"
80,Fleuriste,"Commerce, Vente"
81,"Écriture d'ouvrages, de livres","Communication / Média et Multimédia"
82,Communication,"Communication / Média et Multimédia"
83,Conception de contenus multimédias,"Communication / Média et Multimédia"
84,Journalisme et information média,"Communication / Média et Multimédia"
85,Organisation d'évènementiel,"Communication / Média et Multimédia"
86,"Traduction, interprétariat","Communication / Média et Multimédia"
87,Production en laboratoire photographique,"Communication / Média et Multimédia"
88,Projection cinéma,"Communication / Média et Multimédia"
89,Réalisation de contenus multimédias,"Communication / Média et Multimédia"
90,Photographie,"Communication / Média et Multimédia"
91,Production en laboratoire cinématographique,"Communication / Média et Multimédia"
92,Façonnage et routage,"Communication / Média et Multimédia"
93,Reprographie,"Communication / Média et Multimédia"
94,Intervention technique en industrie graphique,"Communication / Média et Multimédia"
95,Développement et promotion publicitaire,"Communication / Média et Multimédia"
96,Élaboration de plan média,"Communication / Média et Multimédia"
97,Community manager,"Communication / Média et Multimédia"
98,Game designer - jeux vidéo,"Communication / Média et Multimédia"
99,Webmaster concepteur / conceptrice de site web,"Communication / Média et Multimédia"
100,Journaliste,"Communication / Média et Multimédia"
101,Organisateur / Organisatrice de soirées,"Communication / Média et Multimédia"
102,Graphiste multimédia,"Communication / Média et Multimédia"
103,Intégrateur / Intégratrice graphiste,"Communication / Média et Multimédia"
104,Modélisateur / Modélisatrice 3D,"Communication / Média et Multimédia"
105,UX - user experience designer,"Communication / Média et Multimédia"
106,UI - user interface designer,"Communication / Média et Multimédia"
107,Motion design,"Communication / Média et Multimédia"
108,Designer web ,"Communication / Média et Multimédia"
